,Tweet,Hashtag
74,"#didyouknow public speaking skills make you a better leader, according to a study from @UBuffalo which found that strong #communication skills predict who will become a leader on their team.
https://t.co/zwErm3OzLk https://t.co/DgDLQzjkgi",didyouknow communication
75,"Tomorrow is a GSPHA #BlackHistoryMonth “voices for diversity” talk by Aza Allsop, MD, PhD! @DR_tr3, a @YaleMed psychiatry expert, will discuss the mental health revolution &amp; reimagining culture. Moderator is #UBuffalo’s Adetayo Oladele-Ajose. Zoom at 7:00: https://t.co/uZIWmjb8h9 https://t.co/kCvY1PSUso",blackhistorymonth ubuffalo
76,"@Lollardfish @UBuffalo @UB_History @UMDHistory 2/ what’s amazing about this letter (aside from its grossness) is that it’s a primary document, a secondary one, and a sort of meta-statement about the kind of shit that still happens, but not on official department letterhead.",
77,"📺Tune in tonight to see your fellow Dustdevils compete in Call of Duty: Vanguard NACE Starleague.

 8:00pm CST TAMIU Dustdevils CoD JV vs UBuffalo CoD

9:00pm CST TAMIU Dustdevils CoD Varsity vs Neumont eSports Gray",
78,@gregmichaelidis @Lollardfish @UBuffalo @UB_History @UMDHistory @libankerDC @glgerstle @LilyMasonPhD wow,
79,LISTEN 7:42am: Did you know there's a new strain of #COVID19 in WNY? @UBuffalo Senior Associate Dean for Health Policy Dr. Nancy Nielsen talks with @WBFO Morning Host Jay Moran. https://t.co/44mew90K7z,covid19
80,@Rio_Heriniaina @S_poindexterus @DominiqueRaboin @UBuffalo Good to see you here😋,
81,"Do you have the next big idea? Sign up for the 2022 Panasci competition to pitch your product, service or scalable social innovation! 

Apply by March 4 for your shot at more than $52,000 in seed money and in-kind services: https://t.co/4XYIoGLuwf 

#UBMgt #UBuffalo https://t.co/D9kuYclErh",ubmgt ubuffalo
82,"Job opportunity: @UBuffalo seeking a Senior Director of Issues Management and Internal Communications #higheredjobs
https://t.co/T3oKlCrsZg",higheredjobs
83,"After evaluating 57 nursing schools in #NewYork, we have #ranked @UBNursing as no.#1 for offering the Best RN to BSN Program in the state for 2022. @UBuffalo scored 98.31% in our ranking methodology that gauges Academic Quality, Affordability, &amp; more!
👏
https://t.co/WrKUhWIzdE https://t.co/QjyG58N3WM",newyork ranked
84,"The submission DEADLINE for Baird Point Film Festival is this Sunday, Feb 27! 🎥 

Wrap up your film and submit it, following the submission guidelines on UBLinked 🎬  The entire #UBuffalo community is invited to the festival on March 30 at 7pm. RSVP: https://t.co/avJOX3rHE0 https://t.co/LnSKX1yGls",ubuffalo
85,"It’s Touring Thursday!! Stop by One World Cafe at 2pm for a tour of the new space! 
@UBStudentExp @ubalumni
#UBuffalo #UBStudentExperience https://t.co/yDVjSoyuPL",ubuffalo ubstudentexperience
86,"It’s Touring Thursday!! Stop by One World Cafe at 2pm for a tour of the new space! 
@ub_marketing
@ub_sa
#UBuffalo #UBStudentExperience https://t.co/nKvAt0cguP",ubuffalo ubstudentexperience
87,"As the #COVID19 pandemic maintains its grip on the world, #UBuffalo physicians at @Jacobs_Med_UB continue to step up to help Western New York. See the many ways our experts do whatever it takes to provide the utmost care for the community: https://t.co/AeYXzrfZiQ https://t.co/l6QzJ5os42",covid19 ubuffalo
88,@UBuffalo @slipperyrocku @buffalostate @sunyesf @SUNYGeneseo @CLE_State @cwru @JohnCarrollU @BaldwinWallace @GannonU,
89,"🎉Continuing our celebrations during Engineers Week, we're shining the spotlight on one of our incredible district team members. Meet Civil Engineer, Madeleine Dewey.

#EWeek2022 #USACE #Buffalo #WhatEngineersDo #CivilEngineer 

@UBuffalo @NotreDameofMD https://t.co/4cYonMCK9i",eweek2022 usace buffalo whatengineersdo civilengineer
90,"Researchers at @UBuffalo and @UCLA reveal for the first time that behavioral self-management of irritable bowel syndrome (IBS), a painful and common gastrointestinal disorder, can fundamentally change the gut microbiome.

Learn more ➡️ https://t.co/KT3Iz0809F https://t.co/nxuixb5Idq",
91,"(5/n)⚡ Spatial Lightning Talks⚡ featuring (in no particular order): @Yingjie_Hu of @UBuffalo Dept. of Geography:

""How much does a neighborhood drink: Human-place interaction and alcohol-related outcomes""

https://t.co/cqhYeJN6fu",
92,LFG https://t.co/2aQheUzIlg,
93,cc: @SUNY_Esports https://t.co/IHFElcSpNu,
94,"At #UBuffalo, we are spirited 🤘🏼 connected 💙 inspired and unstoppable 💪🏽 We are #UBTrueBlue. See what True Blue is all about 🔽
 https://t.co/ewFNjTqhCB",ubuffalo ubtrueblue
95,"Game on! 🎮 Here's your sneak peek 👀 into the NEW LevelUp computing space in Lockwood Library at #UBuffalo! This space, complete with computers for work and play + the latest gaming consoles, is slated to open in March! @ubinfotech https://t.co/F75ccUN43s",ubuffalo
96,"With more scientists working on ways to eliminate/remove/break down #PFAS #foreverchemicals, there may still be hope for a future! These researchers are working w/detection methods, bacteria &amp; bioreactors; or microbes &amp; nanotechnology. @UBuffalo @renew_ub 
https://t.co/ET4gawsPcJ",pfas foreverchemicals
97,UB Alert: #UBuffalo following regular academic/operations schedule for 2/24 and 2/25 and monitoring weather. Updates at https://t.co/YMoHiNaCfm. #UBAlert,ubuffalo ubalert
98,"NEW: Soil contamination near Tonawanda Coke most likely comes from the now-shuttered plant, a just-released @UBuffalo study has found. Full story at the link. #Buffalo #WNY #Niagara 
https://t.co/t7CSNQY7y6",buffalo wny niagara
